Sample ID	Input Reads	Uniquely Mapped Reads
MO_1062-capt-SI_5161-C0MHHACXX	100911022	54084753
MO_1062-capt-SI_5376-D12U3ACXX	93875495	74406716
MO_1062-capt-SI_5377-D12U3ACXX	102409737	91923048
MO_1062-capt-SI_5378-D12U3ACXX	104140765	91885194
MO_1062-capt-SI_5379-D12U3ACXX	108148686	97146303
MO_1079-capt-SI_5504-D130HACXX	57284511	50333790
MO_1079-capt-SI_5682-C19FAACXX	86866282	67718629
PO_3097-capt-SI_9126-C46YRANXX	64430593	48750133
PO_3052-capt-SI_7359-C2G13ACXX	67315255	55563217
PO_3058-capt-SI_7687-H8UP0ADXX	104386667	88410770
MO_1268-capt-SI_7572-C2GBYACXX	65865018	49526470
PO_3072-capt-SI_10372-C6EL3ANXX	77898021	55891348
PO_3072-capt-SI_7999-C4DTPACXX	78068728	56480034
PO_3066-capt-SI_10925-C6V1TANXX	66748209	50728090
PO_3066-capt-SI_7996-C4DTPACXX	62281543	48589990
PO_3066-capt-SI_7997-C4DTPACXX	72445290	60653901
PO_3066-capt-SI_7998-C4DTPACXX	67957005	52956140
PO_3066-capt-SI_9993-C6EL5ANXX	70940946	51202069
PO_3066-capt-SI_9994-C6EL5ANXX	73548696	54654330
MO_1525-capt-SI_11626-C7G67ANXX	59685375	43143753
MO_1555-capt-SI_12341-H523TADXX	53160473	31156409
TP_2119-capt-SI_11548-C7GBMANXX	73982949	57123373
PO_3102-capt-SI_9317-C5N2AANXX	74383280	65382141
MO_1038-capt-SI_5040-C0LM6ACXX	69497081	55366665
MO_1226-capt-SI_7129-C25YLACXX	44834789	36004991
PO_3085-capt-SI_8606-C5A72ACXX	67034838	52969778
PO_3086-capt-SI_8607-C5A72ACXX	71985400	56147705
PO_3093-capt-SI_8893-C4739ANXX	68199655	64110864
PO_3037-capt-SI_6641-C33JEACXX	38976656	34189729
PO_3037-capt-SI_6641-H0V86ADXX	39755587	34764748
MO_1187-capt-SI_6797-C2560ACXX	35525559	29487319
MO_1187-capt-SI_6797-H77P7ADXX	39669648	32680058
MO_1044-capt-SI_5056-D0UTEACXX	125947729	101314555
TP_2028-capt-SI_6025-D1EBFACXX	59669738	48088524
MO_1155-capt-SI_6473-C1N5FACXX	78454689	61587714
MO_1050-capt-SI_5085-D0VDLACXX	90340925	69832724
MO_1060-capt-SI_5158-C0MHHACXX	94242216	70092763
MO_1158-capt-SI_6565-D1RV8ACXX	72136490	61408342
MO_1193-capt-SI_6861-H77PRADXX	109380616	85442629
MO_1248-capt-SI_7266-D2GEDACXX	69097056	59542594
MO_1378-capt-SI_8657-C59PDACXX	55642892	30391025
MO_1393-capt-SI_11909-C7F4VANXX	61500175	56708897
MO_1393-capt-SI_8845-C4730ANXX	70967982	57448470
MO_1452-capt-SI_9868-C67VYANXX	66520789	46799747
PO_3070-capt-SI_7875-C4CRLACXX	65924176	57922892
TP_2074-capt-SI_10259-C6EJEANXX	70943366	63787421
TP_2071-capt-SI_11776-HV7YTADXX	53443630	41311170
TP_2071-capt-SI_9746-C5N0KANXX	70261727	54208323
MO_1233-capt-SI_7135-C25UAACXX	49268156	39102746
MO_1037-capt-SI_4969-C0L92ACXX	95037099	76712346
